,register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y,DN
10,﻿92168173838,Residència Assistida per a Gent Gran Llars Mundet,,,1986-04-24T00:00:00+02:00,2023-01-26T13:29:39.691575+01:00,,,352507,Pg Vall d'Hebron,171.0,,40,Montbau,7,Horta-Guinardó,8035,BARCELONA,True,,43990.0,100002.0,Informació d'interès,E-mail,gs.residencial@diba.cat,True,,428748.82438690326,4587482.826868194,41.43575541409688,2.147158169831797,1.0
11,﻿92168174918,Observatori Fabra,,,1986-03-18T00:00:00+01:00,2023-02-16T12:50:16.274973+01:00,,,233031,Ctra Observatori Fabra,27.0,,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8035,BARCELONA,True,,43874.0,100002.0,Informació d'interès,E-mail,secretaria@racab.com,True,,426765.3220412651,4585616.946626859,41.41877190341054,2.1236452624703155,1.0
12,﻿94166115553,Residència Militar d'Estudiants Mateo Calabro,,,1994-06-15T00:00:00+02:00,2021-09-09T02:23:47.671523+02:00,,,62507,Capità Arenas,52.0,,23,Sarrià,5,Sarrià-Sant Gervasi,8034,BARCELONA,True,,175806.0,20001.0,Telèfons,Tel.,932033354,True,,426858.2037620738,4582751.5835888665,41.39297332973805,2.12510287048567,1.0
13,﻿99400380479,Can Fontanet - Centre d'Interpretació dels Tres Tombs de Sant Andreu,,,2015-03-17T00:00:00+01:00,2023-06-07T15:00:52.637001+02:00,,,295709,C Sant Adrià,20.0,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,True,,56912.0,100002.0,Informació d'interès,E-mail,info@canfontanet.cat,True,,432395.6290474628,4587230.04407906,41.433793974354174,2.1908326284827284,1.0
14,﻿92168175198,Palau Sant Jordi,,,1989-09-07T00:00:00+02:00,2023-02-16T13:08:28.417051+01:00,,,234001,Pg Olímpic,5.0,,11,el Poble-sec,3,Sants-Montjuïc,8038,BARCELONA,True,,77338.0,100003.0,Informació d'interès,Web,https://palausantjordi.barcelona/,True,,429106.33264333307,4579290.307853774,41.3620001141372,2.1523962021929672,1.0
15,﻿99400477253,Casa Anoll,,,2017-02-06T12:30:06+01:00,2022-09-17T08:50:28.881441+02:00,,,341307,C Josep Torres,2.0,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,True,,,,,,,,,429872.8212982236,4583551.041428972,41.40044227869542,2.1610663164262904,2.0
16,﻿99400477257,Casa Barangé,,,2017-02-06T12:44:38+01:00,2021-09-09T02:15:54.586051+02:00,,,216702,Pl Mons,4.0,,28,Vallcarca i els Penitents,6,Gràcia,8023,BARCELONA,True,,356911.0,50.0,Variables,Arquitecte(s),Ricardo Churruca Dotres,False,,428498.88833898026,4585003.060982058,41.413399023929664,2.144460106814436,1.0
17,﻿92154102452,Jardins de Joan Maragall - Palauet Albéniz,,,1992-06-02T00:00:00+02:00,2023-06-09T14:28:58.567691+02:00,,,116402,Av Estadi,69.0,,11,el Poble-sec,3,Sants-Montjuïc,8038,BARCELONA,True,,76845.0,100003.0,Informació d'interès,Web,https://link.bcn.cat/cEjdJM,True,,429456.081121897,4579856.827394613,41.3671333000304,2.156511461067073,1.0
18,﻿92086008873,Sant Pau Recinte Modernista,,,1984-12-10T00:00:00+01:00,2023-05-04T11:56:30.271842+02:00,,,297001,Carrer de Sant Antoni Maria Claret,167.0,,35,el Guinardó,7,Horta-Guinardó,8025,Barcelona,True,,40587.0,100002.0,Informació d'interès,E-mail,visites@fundaciosantpau.cat,True,,431113.7429716268,4584868.611835484,41.41241647123583,2.1757600481895056,1.0
19,﻿92086008878,Palau del Baró de Quadras,,,1984-12-10T00:00:00+01:00,2022-09-17T04:05:50.209942+02:00,,,144601,Av Diagonal,373.0,,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,True,,40407.0,100002.0,Informació d'interès,E-mail,casessingulars@casessingulars.com (reserves per a grups),True,,429891.7251993957,4583143.7744054645,41.396775817125445,2.161339600186852,3.0
20,﻿92086002054,Facultat de Dret - UB,,,1988-04-11T00:00:00+02:00,2023-02-01T16:52:28.988412+01:00,,,144601,Av Diagonal,684.0,,21,Pedralbes,4,Les Corts,8034,BARCELONA,True,,39886.0,100002.0,Informació d'interès,E-mail,sec.dret@ub.edu,True,,426516.8722175164,4582118.434692386,41.38723971871468,2.1210972500110508,1.0
21,﻿99400391361,Cases modernistes del carrer de Sants,,,2015-07-13T14:11:51+02:00,2021-09-09T02:15:39.634108+02:00,,,312400,C Sants,211.0,,18,Sants,3,Sants-Montjuïc,8028,BARCELONA,True,,,,,,,,,427474.1541963108,4580802.039746836,41.37547034603628,2.1327032048740047,1.0
22,﻿99400391529,El Rec Comtal,,,2015-07-14T15:45:15+02:00,2023-01-30T12:10:11.416165+01:00,,,236506,C Oristà,16.0,,56,Vallbona,8,Nou Barris,8033,BARCELONA,True,,,,,,,,,432002.7441651357,4590674.822456729,41.46478662529261,2.1857427165784453,1.0
23,﻿92195132407,Port Olímpic de Barcelona,,,1992-07-13T00:00:00+02:00,2023-02-27T16:19:57.495322+01:00,,,700693,Port Olímpic,100.0,,67,la Vila Olímpica del Poblenou,10,Sant Martí,8005,Barcelona,True,,43779.0,100002.0,Informació d'interès,E-mail,portolimpic@bsmsa.cat,True,,433054.2846735834,4582108.667145342,41.38772238063312,2.199282061005833,1.0
24,﻿92086012068,Escultura Colles Sant Medir,,,1985-04-09T00:00:00+02:00,2023-01-20T13:03:32.091642+01:00,,,345807,Pl Trilla,1.0,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,True,,163472.0,20001.0,Telèfons,Tel.,932373638,True,,429153.0342188008,4583897.469900205,41.40349932760185,2.1524158362950163,1.0
25,﻿92086000492,Reial Acadèmia de Medicina de Catalunya,,,1987-05-14T00:00:00+02:00,2023-03-09T15:22:53.555526+01:00,,,67307,C Carme,47.0,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,True,,39413.0,100002.0,Informació d'interès,E-mail,secretaria@ramc.cat,True,,430513.7755056811,4581444.403115301,41.38152411821448,2.168974973139409,2.0
26,﻿92086011004,"Casal Catòlic de Sant Andreu - Àntic Casino ""El Progrés""",,,1985-02-19T00:00:00+01:00,2023-03-09T15:22:33.655011+01:00,,,262200,C Pons i Gallarza,58.0,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,True,,40783.0,100002.0,Informació d'interès,E-mail,casalcatolicsantandreu@gmail.com,True,,432032.7225293687,4587429.200066114,41.43555707085925,2.186466964815642,1.0
27,﻿92086011642,Institut del Teatre,,,1987-05-22T00:00:00+02:00,2023-02-16T11:21:10.228229+01:00,,,700685,Pl Margarida Xirgu,1.0,,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,True,,40635.0,100002.0,Informació d'interès,E-mail,i.teatre@institutdelteatre.cat,True,,429538.3442394055,4580249.751575231,41.37067944898099,2.1574493140710094,1.0
28,﻿92086010494,Jardins del Palau de Pedralbes,,,1990-03-12T00:00:00+01:00,2023-06-12T10:07:05.355308+02:00,,,144601,Av Diagonal,686.0,,21,Pedralbes,4,Les Corts,8034,BARCELONA,True,,74057.0,100003.0,Informació d'interès,Web,https://link.bcn.cat/cEjdPdP,True,,426293.53040473606,4582044.054369566,41.38654937434819,2.1184352989192647,1.0
29,﻿99400142394,"Cooperativa Impulsem, SCCL",,,2005-09-22T13:33:49+02:00,2023-02-23T14:15:57.020615+01:00,,,330300,C Tàpies,6.0,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,True,,50811.0,100002.0,Informació d'interès,E-mail,impulsem@impulsem.org,True,,430682.2409789435,4580904.983415029,41.376680258915165,2.171051240900224,2.0
30,﻿1204124417,Pont de Calatrava (Bac de Roda - Felip II),,,2001-07-23T00:00:00+02:00,2023-02-27T16:19:16.024090+01:00,,,121402,Carrer de Felip II,2.0,,61,la Sagrera,9,Sant Andreu,8027,Barcelona,True,,235614.0,7.0,Variables,Coordenades X,3260371,False,,432509.1858382271,4585271.809167086,41.416166339580734,2.1924102551677853,1.0
31,﻿67140908,Associació Eix Comercial de Maragall,,,2000-03-07T00:00:00+01:00,2023-03-09T14:20:45.416684+01:00,,,217206,Rambla de la Muntanya,5.0,5.0,35,el Guinardó,7,Horta-Guinardó,8041,Barcelona,True,,33439.0,100002.0,Informació d'interès,E-mail,info@eixmaragall.com,True,,431350.32,4585927.869,41.42197707927703,2.1784702505689157,1.0
32,﻿92086008748,Edifici de l'Antic Hospital de la Santa Creu,,,1991-03-14T00:00:00+01:00,2022-09-17T04:04:44.371763+02:00,,,157909,C Hospital,56.0,,1,el Raval,1,Ciutat Vella,8001,BARCELONA,True,,73672.0,100003.0,Informació d'interès,Web,http://www.barcelonaturisme.com/wv3/ca/page/371/.html,True,,430583.2568402671,4581395.406607783,41.38108881941956,2.169811468590316,3.0
33,﻿92086011935,Parc de la Font del Racó,,,1985-04-01T00:00:00+02:00,2022-11-23T12:39:26.017319+01:00,,,101008,Av Tibidabo,72.0,,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8035,BARCELONA,True,,73858.0,100003.0,Informació d'interès,Web,https://link.bcn.cat/cPdlFdR,True,,427363.5682978527,4585313.581712986,41.41609393601731,2.130839745769486,1.0
34,﻿2063142018,Pavellons d'Entrada de l'Antiga Finca Güell,,,2002-03-04T00:00:00+01:00,2021-10-18T15:23:24.715718+02:00,,,359200,Avinguda de Pedralbes,7.0,,21,Pedralbes,4,Les Corts,8034,Barcelona,True,,135233.0,20001.0,Telèfons,Tel.,933177652,True,,426498.38636682206,4582257.506331367,41.38849058797558,2.1208592991305357,1.0
35,﻿99400662810,El passatge d'Antoni Gassol,,,2021-01-19T13:50:06+01:00,2021-11-23T11:02:35.195522+01:00,,,17900,Ptge Antoni Gassol,1.0,,72,Sant Martí de Provençals,10,Sant Martí,8018,BARCELONA,True,,,,,,,,,432770.894872516,4584890.739953149,41.41275610120803,2.195583895314642,1.0
36,﻿92168166349,Centre Educatiu Vedruna Gràcia Barcelona,,,1989-07-18T00:00:00+02:00,2023-02-02T11:54:33.213816+01:00,,,206403,C Gran de Gràcia,234.0,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,True,,43960.0,100002.0,Informació d'interès,E-mail,vedrunagracia@vedruna.cat,True,,429070.7679893395,4584033.558555778,41.40471777195004,2.151415793082498,1.0
37,﻿1017160042,Casa Muley-Afid,,,2001-01-17T00:00:00+01:00,2023-01-20T14:00:59.345647+01:00,,,44709,Pg Bonanova,55.0,,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,BARCELONA,True,,,,,,,,,427168.9784808364,4583957.698891372,41.40386449496666,2.1286747551139507,1.0
38,﻿75990704278,Fundació Privada Foto Colectania,,,2001-06-02T00:00:00+02:00,2023-05-04T11:18:02.986157+02:00,,,201400,Pg Picasso,14.0,,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,BARCELONA,True,,39303.0,100002.0,Informació d'interès,E-mail,info@fotocolectania.org,True,,431670.92711896537,4582116.139795696,41.387673365422295,2.1827368854864178,2.0
39,﻿99400703089,Antiga Estació de Rodalies Sant Andreu Comtal de RENFE,,,2022-12-16T10:11:45.750827+01:00,2022-12-16T10:13:32.584829+01:00,,,116107,Plaça de l'Estació,1.0,1.0,60,Sant Andreu,9,Sant Andreu,8030,Barcelona,True,,,,,,,,,432536.29,4587467.374,41.43594335271556,2.192489567666219,1.0
40,﻿92086009153,Telefèric de Montjuïc,,,1988-02-26T00:00:00+01:00,2023-02-20T09:40:04.112521+01:00,,,213307,Av Miramar,20.0,,11,el Poble-sec,3,Sants-Montjuïc,8038,BARCELONA,True,,73667.0,100003.0,Informació d'interès,Web,http://www.telefericdemontjuic.cat/ca,True,,430004.881745107,4580042.173698919,41.36885056534847,2.1630513619866973,1.0
41,﻿92086000174,Museu Etnològic i de Cultures del Món *Parc Montjuïc,,,1984-05-30T00:00:00+02:00,2023-06-12T09:48:44.013648+02:00,,,316809,Passeig de Santa Madrona,16.0,,11,el Poble-sec,3,Sants-Montjuïc,8038,Barcelona,True,,39359.0,100002.0,Informació d'interès,E-mail,museuetnologic@bcn.cat,True,,429415.5354705268,4580074.878257027,41.36909366060918,2.156001328720349,1.0
42,﻿92086003532,Hospital Clínic i Provincial,,,1984-05-30T00:00:00+02:00,2023-06-09T14:28:11.001578+02:00,,,363809,C Villarroel,170.0,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036,BARCELONA,True,,72715.0,100003.0,Informació d'interès,Web,https://www.clinicbarcelona.org/ca,True,,429119.381871757,4582349.613992283,41.38955539831457,2.152194463242196,1.0
43,﻿96319194957,Palau de Congressos *Pavelló 5,75990334751.0,Fira Barcelona,1996-11-14T00:00:00+01:00,2022-09-17T05:26:29.722969+02:00,,,278200,Av Reina Maria Cristina,1.0,,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,True,,45835.0,100002.0,Informació d'interès,E-mail,info@firabcn.com,True,,429075.2177021372,4580446.945553125,41.37241483260608,2.1518889546104605,1.0
44,﻿99322140211,CaixaForum Barcelona,,,1999-11-18T00:00:00+01:00,2023-05-04T11:02:51.300796+02:00,,,198702,Avinguda de Francesc Ferrer i Guàrdia,6.0,,14,la Font de la Guatlla,3,Sants-Montjuïc,8038,Barcelona,True,,47522.0,100002.0,Informació d'interès,E-mail,icaixaforumbcn@magmacultura.com,True,,428882.06960571534,4580327.947674324,41.37132601483052,2.1495935126379413,1.0
45,﻿99329122806,Biblioteca Clarà,,,1999-11-25T00:00:00+01:00,2023-06-12T10:15:01.663365+02:00,,,101405,Carrer del Doctor Carulla,22.0,,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017,Barcelona,True,,47417.0,100002.0,Informació d'interès,E-mail,b.barcelona.cl@diba.cat,True,,427231.39096885273,4583521.384160167,41.39994044899448,2.1294738021393327,1.0
46,﻿99400390930,Casa Granell *Girona,,,2015-07-07T11:23:37+02:00,2022-09-17T08:22:02.350788+02:00,,,145003,C Girona,122.0,,7,la Dreta de l'Eixample,2,Eixample,8009,BARCELONA,True,,353208.0,50.0,Variables,Arquitecte(s),Jeroni F. Granell i Manresa,False,,430455.8667065314,4583196.645006214,41.39730099114916,2.1680813060601696,3.0
47,﻿99400387390,La plaça del Diamant i el refugi antiaeri,,,2015-05-26T12:47:43+02:00,2021-09-09T02:14:35.068891+02:00,,,100300,Pl Diamant,2.0,,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,True,,,,,,,,,429463.9281835237,4583968.717270354,41.40416836291504,2.156126554176889,1.0
48,﻿99400387416,L'Anella Olímpica,,,2015-05-26T16:18:44+02:00,2021-09-09T02:14:48.956151+02:00,,,116402,Av Estadi,44.0,,11,el Poble-sec,3,Sants-Montjuïc,8038,BARCELONA,True,,,,,,,,,429126.5643489076,4579753.438335246,41.36617316365693,2.1525839482341884,1.0
49,﻿99400387417,La Zona Universitària,,,2015-05-26T16:24:20+02:00,2021-09-09T02:14:52.167482+02:00,,,333604,C John M Keynes,4.0,,21,Pedralbes,4,Les Corts,8034,BARCELONA,True,,,,,,,,,426153.0327799455,4582000.700761952,41.38614602205185,2.116760355882887,1.0
50,﻿99400390695,Plaça del Nen de la Rutlla,,,2015-07-03T13:47:23+02:00,2021-09-09T02:15:08.080574+02:00,,,269607,Pl Nen de la Rutlla,9999.0,,35,el Guinardó,7,Horta-Guinardó,8041,BARCELONA,True,,,,,,,,,430772.2271415005,4585583.449797072,41.4188254176045,2.1715923368510053,1.0
51,﻿99400387693,Sant Joan de Dalt,,,2015-06-02T15:35:46+02:00,2021-09-09T02:45:46.481500+02:00,,,305100,Pg Sant Joan,150.0,,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,8037,BARCELONA,True,,,,,,,,,430321.42790082085,4583737.950698708,41.40216470756282,2.1664109515260725,1.0
52,﻿99400050456,Centre de Reunions i Convencions UAB Casa Convalescència,,,2003-07-11T12:21:24+02:00,2021-09-09T02:14:03.467095+02:00,,,297001,C Sant Antoni Maria Claret,171.0,,35,el Guinardó,7,Horta-Guinardó,8025,BARCELONA,True,,48374.0,100002.0,Informació d'interès,E-mail,casaconvalescencia@uab.cat,True,,431211.3219929034,4585020.379375686,41.41379174747704,2.176910232352591,1.0
53,﻿99400197043,Centre Cívic Can Castelló,,,2007-12-27T14:11:55+01:00,2023-03-23T08:16:19.197439+01:00,,,73004,Carrer de Castelló,1.0,,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Barcelona,True,,52955.0,100002.0,Informació d'interès,E-mail,infocancastello@gmail.com,True,,428125.3163066493,4583412.537413015,41.39904051559379,2.140179532716965,1.0
54,﻿92086004383,Palau Macaya,,,1986-02-17T00:00:00+01:00,2022-09-17T03:56:39.303616+02:00,,,305100,Pg Sant Joan,108.0,,7,la Dreta de l'Eixample,2,Eixample,8037,BARCELONA,True,,,,,,,,,430571.5345238368,4583481.324253142,41.39987499692392,2.16943219323842,1.0
55,﻿92086000934,Santa Església Catedral Basílica de Barcelona,,,1988-06-02T00:00:00+02:00,2022-01-25T14:39:50.650093+01:00,,,94208,Pla Seu,3.0,,2,el Barri Gòtic,1,Ciutat Vella,8002,BARCELONA,True,,39983.0,100002.0,Informació d'interès,E-mail,info@catedralbcn.org,True,,431118.7485620572,4581746.448291292,41.38429657081115,2.1761751314006545,3.0
56,﻿99400076320,Placa Fotovoltaica,99400118971.0,El Parc del Fòrum,2004-03-10T15:58:00+01:00,2022-09-17T06:13:19.960729+02:00,,,701612,Pl Fòrum,1.0,,70,el Besòs i el Maresme,10,Sant Martí,8019,BARCELONA,True,,332897.0,22.0,Variables,Any inauguració,4052004,False,,435489.19850292034,4584727.177077192,41.41150571915544,2.2281237482570995,1.0
57,﻿92086015078,Mercat de les Flors Centre de les Arts de Moviment,,,1986-01-16T00:00:00+01:00,2023-02-16T12:18:56.976845+01:00,,,178400,Lleida,59.0,,11,el Poble-sec,3,Sants-Montjuïc,8004,BARCELONA,True,,41110.0,100002.0,Informació d'interès,E-mail,info@mercatflors.cat,True,,429523.35338845866,4580234.221723731,41.370538264069474,2.157271883570921,1.0
58,﻿99400230768,Hotel W Barcelona - HB-004411,,,2009-07-29T10:33:54+02:00,2022-09-17T07:14:02.084947+02:00,,,701643,Pl Rosa dels Vents,1.0,,3,la Barceloneta,1,Ciutat Vella,8039,BARCELONA,True,,53902.0,100002.0,Informació d'interès,E-mail,wbarcelona@whotels.com,True,,432258.0028452148,4579966.448897408,41.36836130546307,2.1899983126477727,1.0
59,﻿99400144430,Centre Municipal de Cultura Popular de Sant Andreu,,,2005-10-04T17:21:02+02:00,2022-09-17T06:29:54.329939+02:00,,,25001,C Arquímedes,30.0,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,True,,51311.0,100002.0,Informació d'interès,E-mail,cmcpsa@bcn.cat,True,,432136.3864088192,4587997.54655052,41.44068473251822,2.1876438165449668,1.0
60,﻿92086008773,Palau de la Virreina,,,1984-12-07T00:00:00+01:00,2023-02-16T13:03:28.714172+01:00,,,34308,la Rambla,99.0,,1,el Raval,1,Ciutat Vella,8002,BARCELONA,True,,40140.0,100002.0,Informació d'interès,E-mail,lavirreinaci@bcn.cat,True,,430744.9052360212,4581553.84309462,41.38252973907768,2.171726398818812,4.0
61,﻿92086003524,Fundació Universitaria Agustí Pedro Pons,,,1985-01-21T00:00:00+01:00,2022-09-17T03:54:18.126712+02:00,,,353805,Av Vallvidrera,25.0,,23,Sarrià,5,Sarrià-Sant Gervasi,8017,BARCELONA,True,,39724.0,100002.0,Informació d'interès,E-mail,fpedropons@ub.edu,True,,425960.83714786463,4584274.743537279,41.40660960989669,2.1141838297013127,1.0
62,﻿99400141885,Edifici de la Fàbrica Moritz - Espai Gastronòmic i Cultural,,,2005-09-15T11:48:54+02:00,2022-09-17T06:28:39.200223+02:00,,,296508,Rda Sant Antoni,39.0,,10,Sant Antoni,2,Eixample,8011,BARCELONA,True,,50561.0,100002.0,Informació d'interès,E-mail,info@moritz.com,True,,430051.7049739298,4581560.654885423,41.38253112132161,2.1634359544972748,3.0
63,﻿99400390992,Casa Casas-Carbó,,,2015-07-07T13:31:06+02:00,2022-09-17T08:22:13.008254+02:00,,,148307,Pg Gràcia,96.0,,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,True,,353233.0,50.0,Variables,Arquitecte(s),Antoni Rovira i Rabassa,False,,429892.036226323,4583000.016807893,41.39548106980388,2.1613599645166035,3.0
64,﻿99400390995,Casa Antoni Costa,,,2015-07-07T13:36:50+02:00,2021-09-09T02:15:17.150715+02:00,,,74506,Rbla Catalunya,122.0,,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,True,,353235.0,50.0,Variables,Arquitecte(s),Josep Domènech i Estapà,False,,429625.05082766496,4582967.250072084,41.39516263147227,2.15817039068309,2.0
65,﻿99400391052,Casa Comas d' Argemir,,,2015-07-08T09:04:06+02:00,2022-09-17T08:22:29.241349+02:00,,,279600,Av República Argentina,92.0,,28,Vallcarca i els Penitents,6,Gràcia,8023,BARCELONA,True,,353236.0,50.0,Variables,Arquitecte(s),Josep Vilaseca i Casanovas,False,,428613.47228782414,4584712.353840556,41.41079093017859,2.145865303185273,1.0
66,﻿99400391115,Plaça de la Virreina,,,2015-07-08T12:55:38+02:00,2021-09-09T02:15:20.107075+02:00,,,366400,Pl Virreina,3.0,,31,la Vila de Gràcia,6,Gràcia,8024,BARCELONA,True,,,,,,,,,429574.6470864193,4584071.415291897,41.40510303249848,2.1574390767796703,1.0
67,﻿99400391116,Plaça del Nord,,,2015-07-08T12:58:51+02:00,2021-09-09T02:15:21.756992+02:00,,,229001,Pl Nord,3.0,,31,la Vila de Gràcia,6,Gràcia,8024,BARCELONA,True,,,,,,,,,429409.9566424043,4584280.754216146,41.40697402455321,2.1554445283158845,1.0
68,﻿99400391127,El pont de Mühlberg,,,2015-07-08T13:47:46+02:00,2021-09-09T02:15:23.632681+02:00,,,222909,C Mühlberg,100.0,,34,Can Baró,7,Horta-Guinardó,8024,BARCELONA,True,,,,,,,,,429953.5580952776,4585562.093836723,41.41856212293422,2.161799283919621,1.0
69,﻿99400391136,Can Carreras,,,2015-07-08T14:35:41+02:00,2021-09-09T02:15:29.583713+02:00,,,233406,C Ogassa,6.0,,47,Can Peguera,8,Nou Barris,8042,BARCELONA,True,,,,,,,,,430418.4581852451,4587477.370268776,41.4358526732663,2.167141449216274,1.0
70,﻿92086011931,Jardins de Vil·la Amèlia,,,1985-04-01T00:00:00+02:00,2023-06-12T10:21:58.662411+02:00,,,107300,Carrer d'Eduardo Conde,22.0,,23,Sarrià,5,Sarrià-Sant Gervasi,8034,Barcelona,True,,74056.0,100003.0,Informació d'interès,Web,https://link.bcn.cat/cJdlVA,True,,426531.9039098267,4582858.46247544,41.3939061996762,2.1211872573336934,1.0
